"iso3","median","upperci_95","lowerci_95","varnum","nutrient"
"AFG",3.23368280049833,5.52574183893453,1.92466155144043,11,"total seafood, g"
"AGO",37.9707459109995,47.6262742980814,30.2396849584722,11,"total seafood, g"
"ALB",18.3172919807951,23.7763492991232,14.226159758788,11,"total seafood, g"
"ARE",40.5108374917372,58.1625120451603,27.5592541202549,11,"total seafood, g"
"ARG",11.5925898146802,14.5806450511772,9.36609544854465,11,"total seafood, g"
"ARM",47.9030541043973,70.3207045223526,32.5110733752769,11,"total seafood, g"
"ATG",46.4758394937468,64.8723328282336,33.6189480048267,11,"total seafood, g"
"AUS",28.5753755440849,33.8730120811163,24.1210194778757,11,"total seafood, g"
"AUT",21.052032235297,27.2147625701393,16.0568077500246,11,"total seafood, g"
"AZE",22.2884667711428,29.0444608980084,17.1798168922855,11,"total seafood, g"
"BDI",32.8463934369064,40.5163024314388,26.5682983396926,11,"total seafood, g"
"BEL",19.6806016754492,23.8520653516762,16.3101927355291,11,"total seafood, g"
"BEN",22.2056818942116,26.5706356927113,18.447101263949,11,"total seafood, g"
"BFA",28.7694765280126,34.9092786813448,23.6461627631221,11,"total seafood, g"
"BGD",41.6383555192628,45.4246558667399,38.3790538129131,11,"total seafood, g"
"BGR",22.727260772657,30.4283558790396,17.3510801920586,11,"total seafood, g"
"BHR",35.5631330015555,51.3759074225587,24.8383675410379,11,"total seafood, g"
"BHS",21.2373306202806,28.918049037827,15.4717843658085,11,"total seafood, g"
"BIH",10.4096635320888,13.7653589282138,7.96484089181339,11,"total seafood, g"
"BLR",21.5129935960247,28.8191079720532,16.0797679297839,11,"total seafood, g"
"BLZ",26.317809141883,35.9216752034935,19.397633444161,11,"total seafood, g"
"BOL",13.9281741857056,16.1724814767458,12.0118855396566,11,"total seafood, g"
"BRA",28.9171633602458,32.460206072104,25.7089097133257,11,"total seafood, g"
"BRB",45.8210065298308,63.1798690762654,33.3309893655502,11,"total seafood, g"
"BRN",75.411850276531,101.387719357261,55.4012264522368,11,"total seafood, g"
"BTN",24.5014333132131,37.9439291368534,15.85629402384,11,"total seafood, g"
"BWA",24.2177942096125,30.6906011918616,19.3823937242017,11,"total seafood, g"
"CAF",38.4901225019648,48.67101753581,30.8594199904447,11,"total seafood, g"
"CAN",17.257465575832,19.013709958696,15.6951066566991,11,"total seafood, g"
"CHE",40.2763867841325,51.7548959214302,31.1131014737692,11,"total seafood, g"
"CHL",16.5504223357963,25.6357862616512,11.0624689077921,11,"total seafood, g"
"CHN",37.926558410129,43.4548997379874,32.7026095498896,11,"total seafood, g"
"CIV",53.1052017673916,63.6092489790312,44.4926100420747,11,"total seafood, g"
"CMR",41.0615370556437,51.0445516989281,32.7293897456982,11,"total seafood, g"
"COD",43.6688610595699,51.0395223690114,37.4059455460956,11,"total seafood, g"
"COG",71.3848609135327,84.3961982414871,60.4633368435303,11,"total seafood, g"
"COL",40.4164164830753,46.5965548701549,35.1436137132286,11,"total seafood, g"
"COM",56.0739376397127,67.1377178662525,46.9069805219605,11,"total seafood, g"
"CPV",26.4184190158328,33.3754010876795,21.1654622999831,11,"total seafood, g"
"CRI",73.533840470611,97.3288158174898,54.3805527606995,11,"total seafood, g"
"CUB",9.96900260799988,13.5274109411254,7.35908321301194,11,"total seafood, g"
"CYP",22.5828247795273,36.8189838385876,13.8497132847267,11,"total seafood, g"
"CZE",23.3040032208477,31.1920204193144,17.5638569006967,11,"total seafood, g"
"DEU",17.8277526051347,19.6102423936674,16.1679357868479,11,"total seafood, g"
"DJI",35.0970636547914,44.7627489113598,27.5547983922945,11,"total seafood, g"
"DMA",17.427651418383,23.5487260101329,12.963939598245,11,"total seafood, g"
"DNK",36.287846037212,46.9228091702911,27.9775013627987,11,"total seafood, g"
"DOM",15.8604985902293,18.2332403726336,13.674624519543,11,"total seafood, g"
"DZA",23.9948422866565,45.3986134486056,12.9024327173245,11,"total seafood, g"
"ECU",19.2470435279248,32.3836665141631,11.496030076116,11,"total seafood, g"
"EGY",14.337768963202,16.3534079354311,12.5875159805391,11,"total seafood, g"
"ERI",52.6524800236141,65.8307474610798,42.1996950812936,11,"total seafood, g"
"ESP",65.9913589062221,97.3763466573261,43.5555859541202,11,"total seafood, g"
"EST",30.1758627239696,35.6889385737513,25.6723732072902,11,"total seafood, g"
"ETH",4.89608686063943,5.89927312332192,4.0553817575109,11,"total seafood, g"
"FIN",38.5366696564061,51.7709746651451,28.6999522120765,11,"total seafood, g"
"FJI",37.3427458320786,50.8837207497104,27.7164775400549,11,"total seafood, g"
"FRA",30.1980479961472,33.1922759181842,27.5520460584278,11,"total seafood, g"
"FSM",59.3028727628071,81.4346486408971,43.0615914316438,11,"total seafood, g"
"GAB",31.7783906405443,38.2025765848714,26.4368207107655,11,"total seafood, g"
"GBR",28.6999226101187,36.0296555368793,22.784727259298,11,"total seafood, g"
"GEO",56.9053791066724,74.8820222464385,43.3440396657077,11,"total seafood, g"
"GHA",90.359344117585,101.392476889603,80.6794762171112,11,"total seafood, g"
"GIN",16.5130668370889,20.6745116676044,13.0425038446369,11,"total seafood, g"
"GMB",38.522673246748,46.012621911735,32.2421989898053,11,"total seafood, g"
"GNB",17.4289289114051,22.5237484790489,13.5291983481365,11,"total seafood, g"
"GNQ",54.2369992650175,68.4852310728913,42.8175344436881,11,"total seafood, g"
"GRC",30.6375641509335,38.9651266289825,23.671087962585,11,"total seafood, g"
"GRD",24.762323624372,33.7786605418137,18.394671510898,11,"total seafood, g"
"GTM",6.02289369413349,7.00311948354086,5.13585185395986,11,"total seafood, g"
"GUY",43.3715396365653,51.4403133291874,36.4465667970789,11,"total seafood, g"
"HND",12.1555505908179,14.3179180517648,10.471865769719,11,"total seafood, g"
"HRV",38.9986148348534,65.6092004299316,23.6996370927528,11,"total seafood, g"
"HTI",20.2094781158899,23.6053197433015,17.2608470023406,11,"total seafood, g"
"HUN",11.9020869874217,23.9139710873552,6.20976470598285,11,"total seafood, g"
"IDN",56.6764085339167,63.7212236231206,50.6806392770363,11,"total seafood, g"
"IND",9.60901058735913,10.6081881286551,8.75065411710556,11,"total seafood, g"
"IRL",13.1636091321324,20.5337519755693,8.75191297202998,11,"total seafood, g"
"IRN",8.71819783955381,9.75682332933093,7.79229841469964,11,"total seafood, g"
"IRQ",26.4431244860744,38.2889800036931,18.570260075966,11,"total seafood, g"
"ISL",46.7031777397653,53.0749765372181,41.2335426931738,11,"total seafood, g"
"ISR",127.507656225885,147.737413368802,110.948392861369,11,"total seafood, g"
"ITA",61.3519836059142,69.4862340082476,54.6109688352676,11,"total seafood, g"
"JAM",46.5852033415193,59.3608663545986,36.4469455338299,11,"total seafood, g"
"JOR",53.97791240841,62.5286409873011,47.0804129218154,11,"total seafood, g"
"JPN",50.166284506716,54.6024396259588,46.4788962286836,11,"total seafood, g"
"KAZ",33.0173492177414,46.5605781837177,23.9042199636885,11,"total seafood, g"
"KEN",10.8075408279991,13.0608159677935,8.98948681423157,11,"total seafood, g"
"KGZ",1.81458914161076,2.57135250669497,1.25545349410818,11,"total seafood, g"
"KHM",70.9613413269045,79.4354041178288,63.1460501969103,11,"total seafood, g"
"KIR",60.6573957120596,82.4829724410479,44.4160716407492,11,"total seafood, g"
"KOR",21.5641458844863,23.0357754971815,20.1783422076604,11,"total seafood, g"
"KWT",70.294075605684,85.9669919014511,57.6159343617478,11,"total seafood, g"
"LAO",66.810932928621,76.7204623517741,58.6560897144515,11,"total seafood, g"
"LBN",12.1974207621428,14.0167991661228,10.5497745854579,11,"total seafood, g"
"LBR",58.5353393234878,67.3704933482768,50.7217552153577,11,"total seafood, g"
"LBY",32.1548406060456,46.2835757148364,22.6792205663321,11,"total seafood, g"
"LCA",18.0544014535201,24.6501196595248,13.2633254387635,11,"total seafood, g"
"LKA",24.8890583655007,38.4369166614686,16.3068570617104,11,"total seafood, g"
"LSO",10.4712034002618,12.689441070697,8.61841162101706,11,"total seafood, g"
"LTU",29.9604548899017,42.6298820401927,20.9312153523119,11,"total seafood, g"
"LUX",30.0418511097847,54.7443525622973,16.3588569499813,11,"total seafood, g"
"LVA",34.9925870589497,46.4584846110395,26.2807202403641,11,"total seafood, g"
"MAR",35.4682754448611,59.1823899053186,21.3723904351049,11,"total seafood, g"
"MDA",29.5422913589562,39.3318581594789,22.2410205944427,11,"total seafood, g"
"MDG",40.1337704856969,46.6607760061499,34.5185073856231,11,"total seafood, g"
"MDV",40.3678958965993,47.2585175854974,34.609459398972,11,"total seafood, g"
"MEX",7.86556020966028,8.6172595514412,7.16908869095399,11,"total seafood, g"
"MHL",49.2663918329308,68.5616739165507,36.1784151309712,11,"total seafood, g"
"MKD",25.3379025346614,33.7095623928511,19.4019421439609,11,"total seafood, g"
"MLI",53.0535290926906,61.295548803451,45.7323098723915,11,"total seafood, g"
"MLT",40.6396275052042,57.9990602409763,28.1760477324574,11,"total seafood, g"
"MMR",129.270198874517,165.689302407983,97.2181101807095,11,"total seafood, g"
"MNE",53.3137472569683,91.1161567060616,31.4786334306443,11,"total seafood, g"
"MNG",16.5175031507624,22.8961121259981,11.9659465904789,11,"total seafood, g"
"MOZ",40.0858787542248,46.8685491779234,34.3307053663603,11,"total seafood, g"
"MRT",33.8784868371369,42.6020657822107,27.1887683373374,11,"total seafood, g"
"MUS",46.9832107810366,60.7719739136418,36.2596058075379,11,"total seafood, g"
"MWI",37.5531868860806,43.3819099277305,32.5902156561436,11,"total seafood, g"
"MYS",90.9177090886627,109.274300294116,76.0937695206241,11,"total seafood, g"
"NAM",23.23657079414,26.7564268917277,20.2542449751527,11,"total seafood, g"
"NER",6.0128125062082,7.6053715965209,4.78952619077157,11,"total seafood, g"
"NGA",33.343556827471,37.3799537662604,29.6162926915089,11,"total seafood, g"
"NIC",17.8549911358084,24.2567340323932,13.2420747649116,11,"total seafood, g"
"NLD",12.8967466886418,14.1614065930877,11.8104306978905,11,"total seafood, g"
"NOR",62.4500938981891,74.2612487480019,53.0512739056429,11,"total seafood, g"
"NPL",8.33045598614961,10.1618441264332,6.84705380250174,11,"total seafood, g"
"NZL",28.2584443135986,36.7584440465765,21.6263713458798,11,"total seafood, g"
"OMN",32.2979726862901,47.2930944912807,22.3826547504745,11,"total seafood, g"
"PAK",4.39303137288013,5.65701929994385,3.41597357379419,11,"total seafood, g"
"PAN",24.9393903797308,33.495538446644,18.4848421003249,11,"total seafood, g"
"PER",42.9274516677825,58.3355953471754,31.5644173876359,11,"total seafood, g"
"PHL",24.5744638339059,26.9179392090495,22.4155933051136,11,"total seafood, g"
"PNG",0.0054625163332938,0.0088708307300402,0.0034330823538472,11,"total seafood, g"
"POL",19.1857461711343,21.0934061066305,17.4532745091481,11,"total seafood, g"
"PRT",56.740927899951,61.7943445935751,52.3078652508726,11,"total seafood, g"
"PRY",11.8520606978455,16.1229790965435,8.72954701851675,11,"total seafood, g"
"PSE",32.4864260098578,46.3173162227552,22.7253466267118,11,"total seafood, g"
"QAT",34.2929827828186,51.4512959950406,23.5484179819317,11,"total seafood, g"
"ROU",41.4362137350716,51.0490790248808,33.6003364013555,11,"total seafood, g"
"RUS",34.7201460809546,44.3830439572365,27.0435413750857,11,"total seafood, g"
"RWA",24.8131055195201,29.3579515189435,20.8366514759674,11,"total seafood, g"
"SAU",45.8473920712676,65.6164025846807,32.3305471580142,11,"total seafood, g"
"SDN",48.2632163810774,60.8556459853432,38.7944830035054,11,"total seafood, g"
"SEN",44.1157911090654,49.6992420829865,39.2518076713274,11,"total seafood, g"
"SGP",50.218573867737,58.7897332494361,43.2025459453991,11,"total seafood, g"
"SLB",29.9437008676082,41.2002702009078,21.8688263597456,11,"total seafood, g"
"SLE",48.3139835562463,54.6031745297661,42.8421108879775,11,"total seafood, g"
"SLV",10.4508680207112,14.3569999730825,7.71408206011832,11,"total seafood, g"
"SRB",17.151879054102,26.5432617594748,11.1954793001646,11,"total seafood, g"
"SSD",45.4965971426528,58.2028969262843,36.0044935127843,11,"total seafood, g"
"STP",73.9381603571601,85.7379439210627,63.6592079745018,11,"total seafood, g"
"SUR",25.0445317728678,33.8366832376729,18.5736312315155,11,"total seafood, g"
"SVK",8.84203941511007,11.8308029832323,6.43255428541237,11,"total seafood, g"
"SVN",34.2635022961278,52.8549484991427,22.3015049980483,11,"total seafood, g"
"SWE",35.0881386985855,39.5280702347046,31.0506986767075,11,"total seafood, g"
"SWZ",1.97307581701138,2.5001547038578,1.55560495449317,11,"total seafood, g"
"SYC",174.703529721438,194.398275950881,155.209890338944,11,"total seafood, g"
"SYR",32.6499317923525,47.1184119293493,23.1207666429317,11,"total seafood, g"
"TCD",25.0141519835583,30.2139014333974,20.7698125737627,11,"total seafood, g"
"TGO",53.9252143363777,64.3995810136091,45.0043768619248,11,"total seafood, g"
"THA",45.8363961194397,62.9788507905388,33.8941073903324,11,"total seafood, g"
"TJK",6.60785579525693,9.68996482345719,4.63689510072368,11,"total seafood, g"
"TKM",11.8878184330245,15.7715503130148,8.97850592091683,11,"total seafood, g"
"TLS",25.4934033474978,29.7726895094475,21.7549231233568,11,"total seafood, g"
"TON",50.5844817274213,70.8229596284498,36.9705497374146,11,"total seafood, g"
"TTO",25.3236822831976,29.6048192143205,21.8253183112629,11,"total seafood, g"
"TUN",38.2926882074399,57.0227589535983,25.4667206708396,11,"total seafood, g"
"TUR",6.17644660965101,12.1807347740564,3.10732403230346,11,"total seafood, g"
"TWN",28.9427629016358,33.3749410755586,24.9433641315381,11,"total seafood, g"
"TZA",26.5689521483642,31.9612180293045,22.100954542536,11,"total seafood, g"
"UGA",11.6095416727746,13.1294086278099,10.1283506116606,11,"total seafood, g"
"UKR",31.5612990961309,42.4265758935273,23.6517402838952,11,"total seafood, g"
"URY",23.8589393694016,32.2167582680762,17.6124262396941,11,"total seafood, g"
"USA",11.1965554048275,11.7755784804198,10.6797317668195,11,"total seafood, g"
"UZB",47.3518071538372,63.7653704021973,35.3622774151512,11,"total seafood, g"
"VCT",31.9473680233152,43.1997781529689,23.5418686674804,11,"total seafood, g"
"VEN",11.1448560420781,15.1437210955883,8.21726046665676,11,"total seafood, g"
"VNM",61.1430686013675,88.982788810798,42.4019389804093,11,"total seafood, g"
"VUT",41.2995697325212,57.2593882338773,30.1874347546896,11,"total seafood, g"
"WSM",44.435003499955,61.4238925791624,32.5762577939215,11,"total seafood, g"
"YEM",10.8478126897403,13.2975704917452,8.84827230512209,11,"total seafood, g"
"ZAF",4.9655006977761,6.39602961435373,3.88260591064943,11,"total seafood, g"
"ZMB",43.8504395380719,49.4929881403989,38.6355928011548,11,"total seafood, g"
"ZWE",18.5501560149801,21.4192901545433,15.9066735941752,11,"total seafood, g"
